Href;Water Resistance;Case Width;Name;Features;Price;Movement
https://www.ashford.com/gv2-by-gevril-9866.html;50 m (165 feet);37 mm;Marsala Women's  Watch;-;$230.00;Quartz
https://www.ashford.com/mido-m0100071111100.html;50 m (165 feet);25 mm;Baroncelli III Women's  Watch;Date;$334.00;Automatic
https://www.ashford.com/mido-m0162303603180.html;50 m (165 feet);33 mm;Commander II Women's  Watch;Date;$409.99;Automatic
https://www.ashford.com/mido-m733041812.html;50 m (165 feet);30 mm;All Dial Women's  Watch;Date;$344.99;Automatic
https://www.ashford.com/mido-m733091112.html;50 m (165 feet);30 mm;All Dial Women's  Watch;Date;$389.99;Automatic
https://www.ashford.com/frederique-constant-fc-200mpn2v6b.html;30 m (100 feet);30 mm;Classics Art Deco Women's  Watch;-;$419.00;Quartz
https://www.ashford.com/frederique-constant-fc-200mpw2v2b.html;30 m (100 feet);25 mm;Classics Art Deco Women's  Watch;-;$499.00;Quartz
https://www.ashford.com/frederique-constant-fc-318mpwn3b4.html;50 m (165 feet);36 mm;Classics Women's  Watch;Date;$819.00;Automatic
https://www.ashford.com/hamilton-h77311615.html;100 m (330 feet);37 mm;Khaki Navy Seaqueen Women's  Watch;Date,Date, Three Hand;$619.00;Quartz
https://www.ashford.com/calvin-klein-k5v231v6.html;30 m (100 feet);39 mm;Spellbound Women's Casual Watch;Two Hand;$35.99;Quartz
https://www.ashford.com/tissot-t0970071105300.html;50 m (165 feet);29 mm; Women's  Watch;-;$239.99;Automatic
https://www.ashford.com/jacques-lemans-1-1840zk.html;100 m (330 feet);37 mm;Rome Women's  Watch;-;$54.99;Quartz
https://www.ashford.com/thomas-earnshaw-es-8092-02.html;50 m (165 feet);34 mm;Investigator Women's  Watch;Date;$59.99;Quartz
